title,year,kms_raw,price_raw,url,trim,color,steering_side,engine_fuel,vehicle_type,specs_detail
Toyota Fortuner II,2017,"100,000 km","77,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-fortuner-ii-2017/id/211531/,N/A,White,Left-Hand Drive,"2.7 l, 166 hp, Petrol",SUV 5 dr.,N/A
Toyota HiAce H200 Facelift,2025,0 km,"110,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-hiace-h200-facelift-2025/id/211414/,N/A,White,Left-Hand Drive,"2.5 l, 102 hp, Diesel",VAN,N/A
Toyota HiAce H200 Facelift,2024,0 km,"105,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-hiace-h200-facelift-2024/id/211449/,N/A,White,Left-Hand Drive,"2.5 l, 102 hp, Diesel",VAN,N/A
Toyota HiAce H200 Facelift,2025,0 km,"105,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-hiace-h200-facelift-2025/id/211450/,N/A,White,Left-Hand Drive,"2.5 l, 102 hp, Diesel",VAN,GCC Specs
Toyota HiAce H200 Facelift,2023,0 km,"89,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-hiace-h200-facelift-2023/id/211490/,N/A,White,Left-Hand Drive,"2.5 l, 102 hp, Diesel",VAN,N/A
Toyota Camry IX (XV80),2025,0 km,"98,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-camry-ix-xv80-2025/id/211458/,N/A,White,Left-Hand Drive,"2.5 l, 230 hp, Hybrid",Sedan,N/A
Porsche 911 Turbo IV (993),1994,"59,000 km","2,300,000 AED",https://auto.ae/dubai/sale/car/porsche/porsche-911-iv-993-1994/id/211615/,N/A,Grey,Left-Hand Drive,"3.6 l, 408 hp, Petrol",Coupe,European Specs
Dodge Charger GT VII (LD) Facelift,2023,"26,000 km","138,000 AED",https://auto.ae/dubai/sale/car/dodge/dodge-charger-vii-ld-facelift-2023/id/211517/,Trim other,Grey,Left-Hand Drive,"3.6 l, 305 hp, Petrol",Sedan,GCC Specs
Nissan Skyline GT-R X (R34),1999,"29,000 km","580,000 AED",https://auto.ae/dubai/sale/car/nissan/nissan-skyline-x-r34-1999/id/211621/,Trim other,Black,Right-Hand Drive,"2.6 l, 280 hp, Petrol",Coupe,Japanese Specs
Bugatti Chiron,2024,500 km,"22,800,000 AED",https://auto.ae/dubai/sale/car/bugatti/bugatti-chiron-2024/id/211647/,Trim Standart,Black,Left-Hand Drive,"8.0 l, 1500 hp, Petrol",Coupe,N/A
Volkswagen Tiguan II,2017,"150,000 km","47,000 AED",https://auto.ae/sharjah/sale/car/volkswagen/volkswagen-tiguan-ii-2017/id/211649/,N/A,Grey,Left-Hand Drive,"2.0 l, 187 hp, Petrol",SUV 5 dr.,GCC Specs
Land Rover Range Rover P530 MHEV V,2023,"24,000 km","770,000 AED",https://auto.ae/dubai/sale/car/land-rover/land-rover-range-rover-v-2023/id/211645/,Trim SV,White,Left-Hand Drive,"4.4 l, 530 hp, Petrol",SUV 5 dr.,GCC Specs
Toyota Hilux VIII Facelift,2024,0 km,"105,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-hilux-viii-facelift-2024/id/211451/,N/A,Black,Left-Hand Drive,"2.4 l, 150 hp, Diesel",Pickup double cab,N/A
Toyota Land Cruiser 300 Series,2024,"46,000 km","285,000 AED",https://auto.ae/dubai/sale/car/toyota/toyota-land-cruiser-300-series-2024/id/211538/,Trim Arctic Trucks,White,Left-Hand Drive,"3.4 l, 415 hp, Petrol",SUV 5 dr.,GCC Specs
Toyota Camry VIII (XV70) Facelift,2023,0 km,"79,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-camry-viii-xv70-facelift-2023/id/211527/,N/A,Silver,Left-Hand Drive,"2.5 l, 202 hp, Petrol",Sedan,GCC Specs
Toyota Camry VIII (XV70) Facelift,2024,0 km,"79,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-camry-viii-xv70-facelift-2024/id/211523/,N/A,Silver,Left-Hand Drive,"2.5 l, 202 hp, Petrol",Sedan,GCC Specs
Toyota Urban Cruiser III,2024,0 km,"69,000 AED",https://auto.ae/sharjah/sale/car/toyota/toyota-urban-cruiser-iii-2024/id/211543/,Trim GLX,Silver,Left-Hand Drive,"1.5 l, 103 hp, Petrol",SUV 5 dr.,GCC Specs
