iter	Passed	Remaining
1323	34284	43399
1324	34309	43372
1325	34333	43344
1326	34359	43318
1327	34385	43292
1328	34416	43272
1329	34441	43245
1330	34467	43220
1331	34501	43204
1332	34531	43184
1333	34559	43160
1334	34586	43136
1335	34618	43117
1336	34643	43090
1337	34668	43063
1338	34698	43042
1339	34726	43019
1340	34755	42996
1341	34785	42976
1342	34816	42956
1343	34845	42934
1344	34875	42913
1345	34909	42897
1346	34938	42875
1347	34963	42849
1348	34993	42827
1349	35026	42810
1350	35058	42792
1351	35086	42768
1352	35112	42742
1353	35144	42723
1354	35169	42696
1355	35194	42669
1356	35221	42644
1357	35265	42640
1358	35311	42639
1359	35355	42634
1360	35392	42621
1361	35426	42605
1362	35454	42581
1363	35483	42559
1364	35526	42554
1365	35564	42542
1366	35601	42529
1367	35641	42519
1368	35680	42509
1369	35709	42486
1370	35739	42465
1371	35770	42445
1372	35803	42427
1373	35840	42413
1374	35880	42404
1375	35917	42390
1376	35948	42370
1377	35983	42355
1378	36023	42345
1379	36061	42332
1380	36112	42335
1381	36147	42320
1382	36186	42309
1383	36211	42282
1384	36246	42266
1385	36280	42248
1386	36305	42221
1387	36338	42203
1388	36366	42179
1389	36391	42151
1390	36412	42118
1391	36434	42088
1392	36460	42061
1393	36489	42039
1394	36518	42015
1395	36545	41990
1396	36571	41964
1397	36599	41939
1398	36623	41911
1399	36646	41881
1400	36669	41851
1401	36695	41825
1402	36717	41795
1403	36742	41767
1404	36769	41742
1405	36792	41712
1406	36818	41685
1407	36852	41668
1408	36876	41640
1409	36897	41607
1410	36919	41577
1411	36942	41547
1412	36969	41521
1413	36993	41493
1414	37020	41467
1415	37046	41442
1416	37076	41420
