kms,vehicle_age,kms_per_year,horsepower_mid,engine_cc_mid,doors,cylinders,seating_capacity,brand,model,trim,fuel_type,body_type,steering_side,regional_specs,age_bucket,log_price
102959,11,9359.90909090909,549.5,4000.0,4 door,12,5 Seater,Mercedes-Benz,S-Class,S 600,Petrol,Sedan,Left Hand,GCC Specs,10+,11.976665770490769
8980,2,4490.0,549.5,4000.0,2 door,8,2 Seater,Mercedes-Benz,AMG,AMG 63,Petrol,Coupe,Left Hand,Japanese Specs,2-3,13.339087971220277
0,2,0.0,149.5,1749.5,5+ doors,4,5 Seater,Toyota,Rav 4,Other,Hybrid,SUV,Left Hand,Chinese Specs,2-3,11.51293546492023
215000,17,12647.058823529413,149.5,1749.5,4 door,4,5 Seater,Honda,Civic,1.8 i-VTEC,Petrol,Sedan,Left Hand,GCC Specs,10+,9.581972891547895
0,2,0.0,449.5,3749.5,4 door,6,7 Seater,Toyota,Land Cruiser,VXR 3.5L,Petrol,SUV,Left Hand,GCC Specs,2-3,12.706850963741102
55958,3,18652.666666666668,149.5,1749.5,5+ doors,4,5 Seater,MG,RX5,Luxury,Petrol,SUV,Left Hand,GCC Specs,2-3,10.915106645867503
48000,2,24000.0,149.5,749.5,2 door,4,4 Seater,Ford,Mustang,Ecoboost Premium,Petrol,Soft Top Convertible,Left Hand,American Specs,2-3,11.599112335481124
122286,5,24457.2,149.5,1749.5,4 door,4,5 Seater,Mazda,CX-3,GS,Petrol,SUV,Left Hand,GCC Specs,4-6,10.594156665220533
0,1,0.0,349.5,1749.5,4 door,4,5 Seater,BYD,Leopard Titanium 3,4WD Ultra,Electric,SUV,Left Hand,Other,0-1,11.652687407345388
130000,5,26000.0,349.5,1749.5,4 door,4,5 Seater,Mercedes-Benz,A-Class,A 220 4MATIC,Petrol,Sedan,Left Hand,American Specs,4-6,11.112462823634855
223350,18,12408.333333333334,449.5,4000.0,5+ doors,8,5 Seater,Jeep,Grand Cherokee,Srt8,Petrol,SUV,Left Hand,American Specs,10+,10.12667110305036
170000,8,21250.0,349.5,3249.5,5+ doors,6,5 Seater,Land Rover,Range Rover,Supercharged,Petrol,SUV,Left Hand,GCC Specs,7-10,11.561725152903833
141328,5,28265.6,349.5,4000.0,5+ doors,8,7 Seater,GMC,Yukon,AT4,Petrol,SUV,Left Hand,GCC Specs,4-6,11.938199736300923
81000,4,20250.0,249.5,2749.5,4 door,6,5 Seater,Mercedes-Benz,GLE-Class,GLE 350,Petrol,SUV,Left Hand,American Specs,4-6,11.976665770490769
110000,8,13750.0,349.5,4000.0,5+ doors,8,5 Seater,BMW,X5,M,Petrol,SUV,Left Hand,GCC Specs,7-10,11.884489021402713
62000,5,12400.0,149.5,2249.5,4 door,4,5 Seater,Mercedes-Benz,GLC,GLC 200,Petrol,Crossover,Left Hand,GCC Specs,4-6,11.884495917930655
