brand,model,kms,trim,doors,fuel_type,cylinders,body_type,seating_capacity,steering_side,regional_specs,vehicle_age,horsepower_mid,engine_cc_mid,kms_per_year,log_price,age_bucket
Audi,Q5,91673,40 TFSI quattro,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,11,249.5,2249.5,8333.90909090909,10.491301994830229,10+
Mercedes-Benz,G-Class,73000,G 63 AMG,4 door,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,6,549.5,,12166.666666666666,13.098072734013513,4-6
Toyota,Rav 4,18507,XLE,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,American Specs,5,149.5,2249.5,3701.4,11.19135563385109,4-6
Mercedes-Benz,C-Class,140000,AMG C 63 Edition 1,4 door,Petrol,8,Sedan,5 Seater,Left Hand,American Specs,11,549.5,4000.0,12727.272727272728,11.338583982516495,10+
Toyota,Rush,141000,EX,4 door,Petrol,4,Van,7 Seater,Left Hand,GCC Specs,7,,,20142.85714285714,10.460270761075149,7-10
Maextro,S800,0,Starlight Executive,4 door,Hybrid,4,Sedan,4 Seater,Left Hand,Chinese Specs,1,849.5,,0.0,13.76421831620775,0-1
Jeep,Wrangler,31813,Unlimited Sport,5+ doors,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,8,249.5,3749.5,3976.625,11.40646434386837,7-10
Ford,F-Series Pickup,200000,Raptor,4 door,Petrol,6,SUV,5 Seater,Left Hand,American Specs,9,449.5,3249.5,22222.222222222223,11.561725152903833,7-10
Mercedes-Benz,CLA,4500,CLA250,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,3,349.5,2249.5,1500.0,11.60824473564232,2-3
Ford,Bronco,2,Raptor,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,1,449.5,3249.5,2.0,12.813117127036708,0-1
Volkswagen,Golf,220000,GTI,4 door,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,13,249.5,2249.5,16923.076923076922,9.6678285081515,10+
Land Rover,Range Rover,77000,Vogue,4 door,Petrol,8,SUV,5 Seater,Left Hand,European Specs,7,549.5,,11000.0,12.031725210748633,7-10
Mitsubishi,L200,93000,Double Cab GL,4 door,Petrol,4,Pick Up Truck,5 Seater,Left Hand,GCC Specs,5,149.5,2249.5,18600.0,10.645424897265505,4-6
Ford,Explorer,285000,Other,4 door,Petrol,6,SUV,7 Seater,Left Hand,Other,16,249.5,2749.5,17812.5,9.305741456739437,10+
Honda,Civic,110816,EX,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,8,149.5,749.5,13852.0,10.434145214930487,7-10
Honda,Civic,303500,VTi,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,13,149.5,1749.5,23346.153846153848,9.90353755128617,10+
Mercedes-Benz,E-Class,55200,E 350,4 door,Petrol,6,Sedan,4 Seater,Left Hand,Japanese Specs,16,249.5,3749.5,3450.0,10.640675541671662,10+
Chevrolet,Malibu,190000,LT,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,5,149.5,1749.5,38000.0,10.404293143019792,4-6
Toyota,Yaris,219000,S,4 door,Petrol,4,Hatchback,4 Seater,Left Hand,GCC Specs,12,149.5,,18250.0,9.87822102528824,10+
Chevrolet,Malibu,150000,LT,4 door,Petrol,4,Sedan,5 Seater,Left Hand,Korean Specs,9,149.5,1249.5,16666.666666666668,10.203629181337648,7-10
Audi,Q7,194000,45 TFSI Quattro,5+ doors,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,8,249.5,,24250.0,10.915106645867503,7-10
Nissan,Kicks,25500,SR,4 door,Petrol,4,SUV,5 Seater,Left Hand,American Specs,2,950.0,249.5,12750.0,10.736418414365376,2-3
Hyundai,Sonata,142000,Sport,4 door,Petrol,4,Sedan,5 Seater,Left Hand,American Specs,12,149.5,1749.5,11833.333333333334,9.680406499268877,10+
Infiniti,QX60,97000,Comfort,4 door,Petrol,6,SUV,5 Seater,Left Hand,GCC Specs,8,349.5,3249.5,12125.0,10.915106645867503,7-10
Volkswagen,Jetta,190000,SEL,4 door,Petrol,6,Sedan,5 Seater,Left Hand,GCC Specs,10,249.5,1749.5,19000.0,9.90353755128617,7-10
BMW,X4,106656,xDrive30i M Sport,4 door,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,4,249.5,2249.5,26664.0,11.8635823365834,4-6
Mitsubishi,ASX,203000,GLS,5+ doors,Petrol,4,SUV,5 Seater,Left Hand,GCC Specs,13,149.5,2249.5,15615.384615384615,9.664659134301736,10+
Volkswagen,Golf,29997,R,4 door,Petrol,4,Hatchback,5 Seater,Left Hand,GCC Specs,3,349.5,2249.5,9999.0,12.013700752882718,2-3
Ferrari,Portofino,5700,Standard,2 door,Petrol,8,Sports Car,4 Seater,Left Hand,Other,6,549.5,3749.5,950.0,13.399996629152975,4-6
Land Rover,Range Rover Sport,165000,SE,4 door,Petrol,8,SUV,5 Seater,Left Hand,GCC Specs,12,549.5,3249.5,13750.0,11.127277689932466,10+
Dodge,Challenger,132000,SRT 392,2 door,Petrol,8,Coupe,5 Seater,Left Hand,GCC Specs,10,549.5,4000.0,13200.0,11.06665398721974,7-10
BMW,X6,21,M60i,4 door,Petrol,8,SUV,5 Seater,Left Hand,Other,1,549.5,4000.0,21.0,12.896719202134523,0-1
Toyota,Supra,5470,GR,2 door,Petrol,6,Sports Car,2 Seater,Left Hand,GCC Specs,2,349.5,3249.5,2735.0,12.345795456704934,2-3
Infiniti,Q60,60800,Luxury,2 door,Petrol,6,Hard Top Convertible,4 Seater,Left Hand,GCC Specs,12,349.5,3749.5,5066.666666666667,10.596659732783579,10+
Chevrolet,Captiva,141926,LTZ,5+ doors,Petrol,6,SUV,7 Seater,Left Hand,GCC Specs,15,249.5,2249.5,9461.733333333334,9.90353755128617,10+
Jeep,Wrangler,160000,,,,,,,,,5,,,32000.0,11.502885230075814,4-6
GMC,Yukon,50,SLT,5+ doors,Petrol,8,SUV,7 Seater,Left Hand,GCC Specs,0,349.5,4000.0,50.0,12.388398368982115,0-1
Volkswagen,Passat,192000,SEL,4 door,Petrol,4,Sedan,5 Seater,Left Hand,GCC Specs,11,149.5,2749.5,17454.545454545456,9.61587214452889,10+
Mercedes-Benz,E-Class,34000,E 200,2 door,Petrol,4,Soft Top Convertible,4 Seater,Left Hand,European Specs,3,249.5,2249.5,11333.333333333334,11.982935344196433,2-3
